video_name,weather,split
10.10.150.207_01_2025120416562261__2,Haze,train
10.10.150.207_01_2025120416562261__3,Haze,train
10.10.150.207_01_20251204165847738__1,Haze,train
10.10.150.207_01_20251204165847738__2,Haze,train
10.10.150.207_01_20251204174647671__1,Haze,train
10.10.150.207_01_20251204174647671__2,Haze,test
10.10.150.207_01_20251204174710410__1,Haze,train
10.10.150.207_01_20251204174710410__2,Haze,train
10.10.150.207_01_20251204174710410__3,Haze,train
10.10.150.207_01_20251204175557932__1,Haze,train
10.10.150.207_01_20251204175557932__2,Haze,test
10.10.150.207_01_20251204175557932__3,Haze,train
10.10.150.207_01_20251204175619125__1,Haze,test
10.10.150.207_01_20251204175619125__2,Haze,train
10.10.150.207_01_20251204175619125__3,Haze,val
10.10.150.207_01_20251204175619125__4,Haze,test
10.10.150.207_01_20251204180111714__1,Haze,val
10.10.150.207_01_20251204180111714__2,Haze,val
10.10.150.207_01_20251204180111714__3,Haze,val
10.10.150.207_01_20251204180111714__4,Haze,train
10.10.150.207_01_20251204180111714__5,Haze,val
10.10.150.207_01_20251204180435680__1,Haze,test
10.10.160.157_001M_20250831070800000-00.00.00.000-00.00.06.957-seg1,Haze,train
10.10.160.157_001M_20250831070800000-00.00.07.269-00.00.10.892-seg2,Haze,train
10.10.160.157_001M_20250831070800000-00.00.11.063-00.00.15.350-seg3,Haze,train
10.10.160.157_001M_20250831070800000-00.00.15.539-00.00.17.625-seg4,Haze,test
10.10.160.157_001M_20250831070916000-00.00.00.000-00.00.07.996-seg1,Haze,train
10.10.160.157_001M_20250831070916000-00.00.08.492-00.00.20.326-seg2,Haze,train
10.10.160.157_001M_20251210054637000-00.00.22.372-00.00.29.865-seg2,Haze,train
10.10.160.157_001M_20251210054723000-00.00.15.675-00.00.19.451-seg2,Haze,train
10.10.160.157_001M_20251210054723000-00.00.19.385-00.00.23.985-seg1,Haze,train
10.10.160.157_001M_20251210054723000-00.00.24.300-00.00.26.023-seg3,Haze,train
10.10.160.157_001M_20251210054734000-00.00.02.843-00.00.05.146-seg1,Haze,train
10.10.160.157_001M_20251210054734000-00.00.05.570-00.00.08.394-seg2,Haze,train
10.10.160.157_001M_20251210054816000-00.00.18.279-00.00.21.783-seg1,Haze,train
10.10.160.157_001M_20251210054816000-00.00.22.711-00.00.28.343-seg2,Haze,test
10.10.160.157_001M_20251210054934000-00.00.17.998-00.00.24.318-seg1,Haze,test
10.10.160.157_001M_20251210054934000-00.00.25.958-00.00.30.566-seg2,Haze,train
10.10.160.157_001M_20251210054934000-00.00.32.502-00.00.37.118-seg3,Haze,test
10.10.160.157_001M_20251210054934000-00.00.38.206-00.00.42.966-seg4,Haze,train
10.10.160.157_001M_20251210054934000-00.00.45.958-00.00.52.662-seg5,Haze,val
10.10.160.157_001M_20251210055016000-00.00.11.889-00.00.15.609-seg1,Haze,val
10.10.160.157_001M_20251210055016000-00.00.17.013-00.00.20.040-seg2,Haze,train
10.10.160.157_001M_20251210055113000-00.00.00.000-00.00.08.862-seg1,Haze,test
10.10.160.157_001M_20251210055113000-00.00.09.319-00.00.13.528-seg2,Haze,train
10.10.160.157_001M_20251210055113000-00.00.19.844-00.00.22.691-seg3,Haze,train
10.10.160.157_001M_20251210055113000-00.00.25.919-00.00.29.855-seg4,Haze,train
10.10.160.157_001M_20251210055135000-00.00.00.000-00.00.02.258-seg1,Haze,train
10.10.160.157_001M_20251210055135000-00.00.04.991-00.00.13.117-seg2,Haze,train
10.10.160.157_001M_20251210055135000-00.00.16.570-00.00.22.729-seg3,Haze,test
10.10.160.157_001M_20251210055135000-00.00.25.750-00.00.30.604-seg4,Haze,train
10.10.160.157_001M_20251210055200000-00.00.00.000-00.00.10.317-seg1,Haze,train
10.10.160.157_001M_20251210055200000-00.00.11.513-00.00.19.204-seg2,Haze,train
10.10.160.157_001M_20251210055200000-00.00.21.506-00.00.30.288-seg3,Haze,train
10.10.160.157_001M_20251210055200000-00.00.35.038-00.00.41.561-seg4,Haze,train
10.10.160.157_001M_20251210055245000-00.00.00.000-00.00.03.007-seg1,Haze,train
10.10.160.157_001M_20251210055245000-00.00.04.087-00.00.10.975-seg2,Haze,train
10.10.160.157_001M_20251210055245000-00.00.12.735-00.00.16.471-seg3,Haze,train
10.10.160.157_001M_20251210055250000-00.00.00.000-00.00.04.071-seg1,Haze,train
10.10.160.157_001M_20251210055250000-00.00.04.815-00.00.12.646-seg2,Haze,train
10.10.160.157_001M_20251210055250000-00.00.13.878-00.00.25.607-seg3,Haze,train
10.10.160.157_001M_20251210055250000-00.00.30.041-00.00.35.677-seg4,Haze,val
10.10.160.157_001M_20251210055250000-00.00.36.701-00.00.45.237-seg5,Haze,train
10.10.160.157_001M_20251210055320000-00.00.00.000-00.00.12.029-seg1,Haze,train
10.10.160.157_001M_20251210055320000-00.00.14.781-00.00.24.557-seg2,Haze,test
10.10.160.157_001M_20251210055320000-00.00.31.802-00.00.42.112-seg3,Haze,val
10.10.160.157_001M_20251210055320000-00.00.46.124-00.00.56.040-seg4,Haze,test
10.10.160.157_001M_20251210055549000-00.00.23.488-00.00.34.050-seg3,Haze,train
10.10.160.157_001M_20251210055722000-00.00.00.000-00.00.06.189-seg1,Haze,train
10.10.160.157_001M_20251210055722000-00.00.09.840-00.00.16.649-seg2,Haze,train
10.10.160.157_001M_20251210055722000-00.00.19.515-00.00.26.342-seg3,Haze,train
10.10.160.157_001M_20251210055753000-00.00.27.737-00.00.35.019-seg3,Haze,val
10.10.160.157_001M_20251210055812000-00.00.00.000-00.00.06.292-seg1,Haze,train
10.10.160.157_001M_20251210055812000-00.00.10.486-00.00.16.856-seg2,Haze,train
10.10.160.157_001M_20251210055812000-00.00.18.781-00.00.23.696-seg3,Haze,train
10.10.160.157_001M_20251210055821000-00.00.24.113-00.00.31.456-seg3,Haze,train
10.10.160.157_001M_20251210055851000-00.00.11.759-00.00.16.918-seg3,Haze,train
10.10.160.157_001M_20251210055918000-00.00.04.370-00.00.07.532-seg2,Haze,train
10.10.160.157_001M_20251210055918000-00.00.07.935-00.00.10.407-seg3,Haze,test
10.10.160.157_001M_20251210055943000-00.00.06.674-00.00.09.752-seg3,Haze,val
10.10.160.157_001M_20251210060030000-00.00.06.993-00.00.09.811-seg3,Haze,train
10.10.160.157_001M_20251210060048000-00.00.19.369-00.00.27.214-seg3,Haze,train
10.10.160.157_001M_20251210060105000-00.00.14.180-00.00.19.511-seg3,Haze,val
10.10.160.157_001M_20251210060105000-00.00.20.286-00.00.25.353-seg4,Haze,train
10.10.160.157_001M_20251210060105000-00.00.25.864-00.00.28.662-seg5,Haze,val
10.10.160.157_001M_20251210060139000-00.00.07.009-00.00.13.100-seg2,Haze,train
10.10.160.157_001M_20251210060139000-00.00.14.602-00.00.18.335-seg3,Haze,val
10.10.160.157_001M_20251210060139000-00.00.24.885-00.00.29.287-seg5,Haze,train
10.10.160.157_001M_20251210060149000-00.00.00.000-00.00.04.770-seg1,Haze,train
10.10.160.157_001M_20251210060149000-00.00.05.447-00.00.09.474-seg2,Haze,val
10.10.160.157_001M_20251210060149000-00.00.10.295-00.00.14.045-seg3,Haze,train
10.10.160.157_001M_20251210060149000-00.00.14.511-00.00.16.907-seg4,Haze,train
10.10.160.157_001M_20251210060641000-00.00.11.884-00.00.16.139-seg1,Haze,train
10.10.160.157_001M_20251210060641000-00.00.19.021-00.00.24.870-seg2,Haze,val
10.10.160.157_001M_20251210060716000-00.00.05.953-00.00.08.867-seg1,Haze,train
10.10.160.157_001M_20251210060716000-00.00.09.946-00.00.14.496-seg2,Haze,val
10.10.160.157_001M_20251210065008000-00.00.07.031-00.00.10.426,Haze,train
10.10.160.157_001M_20251210065108000-00.00.10.124-00.00.17.512-seg1,Haze,train
10.10.160.157_001M_20251210065108000-00.00.21.082-00.00.25.040-seg2,Haze,test
10.10.160.157_001M_20251210065118000-00.00.03.192-00.00.04.040,Haze,train
10.10.160.157_001M_20251210065127000-00.00.03.168-00.00.06.977-seg1,Haze,train
10.10.160.157_001M_20251210065127000-00.00.08.189-00.00.13.582-seg2,Haze,train
10.10.160.157_001M_20251210065127000-00.00.16.267-00.00.19.040-seg3,Haze,train
10.10.160.157_001M_20251210065138000-00.00.00.000-00.00.07.556-seg1,Haze,val
10.10.160.157_001M_20251210065138000-00.00.09.203-00.00.14.121-seg2,Haze,val
10.10.160.157_001M_20251210065138000-00.00.17.575-00.00.21.654-seg3,Haze,train
10.10.160.157_001M_20251210065200000-00.00.00.000-00.00.02.136-seg1,Haze,train
10.10.160.157_001M_20251210065200000-00.00.20.176-00.00.23.040-seg2,Haze,train
10.10.160.157_001M_20251210065248000-00.00.14.082-00.00.17.678,Haze,train
10.10.160.157_001M_20251210065258000-00.00.02.445-00.00.05.876,Haze,train
10.10.160.157_001M_20251210065305000-00.00.12.075-00.00.14.040-seg2,Haze,val
10.10.160.157_001M_20251210065312000-00.00.12.857-00.00.17.612-seg2,Haze,train
10.10.160.157_001M_20251210065312000-00.00.18.758-00.00.22.040-seg3,Haze,train
10.10.160.157_001M_20251210065320000-00.00.22.976-00.00.27.160-seg4,Haze,train
10.10.160.157_001M_20251210065326000-00.00.03.600-00.00.07.808-seg1,Haze,train
10.10.160.157_001M_20251210065338000-00.00.15.495-00.00.19.727-seg3,Haze,train
10.10.160.157_001M_20251210065348000-00.00.00.888-00.00.04.184,Haze,train
10.10.160.157_001M_20251210065354000-00.00.08.790-00.00.12.749-seg2,Haze,train
10.10.160.157_001M_20251210065403000-00.00.10.775-00.00.16.231-seg3,Haze,train
10.10.160.157_001M_20251210065410000-00.00.15.414-00.00.21.494-seg3,Haze,test
10.10.160.157_001M_20251210065410000-00.00.24.357-00.00.28.040-seg4,Haze,train
10.10.160.157_001M_20251210065420000-00.00.07.258-00.00.12.050-seg2,Haze,val
10.10.160.157_001M_20251210065439000-00.00.05.071-00.00.08.040-seg2,Haze,train
10.10.160.157_001M_20251210065447000-00.00.13.936-00.00.16.040-seg3,Haze,train
21_06_2017_IITBBSoldData-00.00.27.855-00.00.33.430-seg01,Rain,train
21_06_2017_IITBBSoldData-00.00.33.430-00.00.40.487-seg02,Rain,val
21_06_2017_IITBBSoldData-00.00.40.687-00.00.47.172-seg03,Rain,val
21_06_2017_IITBBSoldData-00.01.16.915-00.01.22.086-seg04,Rain,train
21_06_2017_IITBBSoldData-00.01.22.086-00.01.27.477-seg05,Rain,train
21_06_2017_IITBBSoldData-00.01.27.477-00.01.35.438-seg06,Rain,train
21_06_2017_IITBBSoldData-00.02.10.791-00.02.15.903-seg07,Rain,train
21_06_2017_IITBBSoldData-00.02.16.118-00.02.22.540-seg08,Rain,train
21_06_2017_IITBBSoldData-00.02.22.966-00.02.26.646-seg09,Rain,train
21_06_2017_IITBBSoldData-00.02.33.274-00.02.38.811-seg10,Rain,train
21_06_2017_IITBBSoldData-00.02.39.951-00.02.46.491-seg11,Rain,val
21_06_2017_IITBBSoldData-00.02.47.508-00.02.53.059-seg12,Rain,train
21_06_2017_IITBBSoldData-00.02.54.008-00.02.59.298-seg13,Rain,test
21_06_2017_IITBBSoldData-00.03.00.268-00.03.06.788-seg14,Rain,train
21_06_2017_IITBBSoldData-00.03.07.802-00.03.13.979-seg15,Rain,train
21_06_2017_IITBBSoldData-00.03.14.874-00.03.21.811-seg16,Rain,train
21_06_2017_IITBBSoldData-00.03.22.479-00.03.30.103-seg17,Rain,train
21_06_2017_IITBBSoldData-00.03.30.939-00.03.38.603-seg18,Rain,test
21_06_2017_IITBBSoldData-00.03.39.462-00.03.46.594-seg19,Rain,test
21_06_2017_IITBBSoldData-00.03.47.636-00.03.54.800-seg20,Rain,test
21_06_2017_IITBBSoldData-00.03.55.513-00.04.01.931-seg21,Rain,train
21_06_2017_IITBBSoldData-00.04.02.772-00.04.10.299-seg22,Rain,test
21_06_2017_IITBBSoldData-00.04.11.198-00.04.19.602-seg23,Rain,train
21_06_2017_IITBBSoldData-00.04.20.339-00.04.29.214-seg24,Rain,train
21_06_2017_IITBBSoldData-00.04.30.194-00.04.38.038-seg25,Rain,test
21_06_2017_IITBBSoldData-00.04.38.979-00.04.48.122-seg26,Rain,train
21_06_2017_IITBBSoldData-00.04.48.864-00.04.56.577-seg27,Rain,train
21_06_2017_IITBBSoldData-00.04.57.425-00.05.05.582-seg28,Rain,train
21_06_2017_IITBBSoldData-00.05.06.320-00.05.12.998-seg29,Rain,train
21_06_2017_IITBBSoldData-00.05.13.991-00.05.19.084-seg30,Rain,val
21_06_2017_IITBBSoldData-00.05.20.418-00.05.25.861-seg31,Rain,val
21_06_2017_IITBBSoldData-00.05.26.713-00.05.31.911-seg32,Rain,train
21_06_2017_IITBBSoldData-00.05.32.955-00.05.39.373-seg33,Rain,test
21_06_2017_IITBBSoldData-00.05.40.160-00.05.47.018-seg34,Rain,test
21_06_2017_IITBBSoldData-00.05.47.037-00.05.52.512-seg35,Rain,train
21_06_2017_IITBBSoldData-00.05.53.579-00.05.57.793-seg36,Rain,train
21_06_2017_IITBBSoldData-00.05.59.393-00.06.05.168-seg37,Rain,train
21_06_2017_IITBBSoldData-00.06.05.978-00.06.12.592-seg38,Rain,train
21_06_2017_IITBBSoldData-00.06.13.393-00.06.19.375-seg39,Rain,train
21_06_2017_IITBBSoldData-00.06.20.437-00.06.26.059-seg40,Rain,train
21_06_2017_IITBBSoldData-00.06.27.501-00.06.33.579-seg41,Rain,train
21_06_2017_IITBBSoldData-00.06.34.634-00.06.40.505-seg42,Rain,train
21_06_2017_IITBBSoldData-00.06.41.303-00.06.46.660-seg43,Rain,train
21_06_2017_IITBBSoldData-00.06.48.342-00.06.53.772-seg44,Rain,train
21_06_2017_IITBBSoldData-00.06.54.737-00.07.00.152-seg45,Rain,train
21_06_2017_IITBBSoldData-00.07.01.744-00.07.08.357-seg46,Rain,train
21_06_2017_IITBBSoldData-00.07.09.500-00.07.15.666-seg47,Rain,train
21_06_2017_IITBBSoldData-00.07.16.698-00.07.22.511-seg48,Rain,train
21_06_2017_IITBBSoldData-00.07.23.292-00.07.29.692-seg49,Rain,val
21_06_2017_IITBBSoldData-00.07.30.617-00.07.36.173-seg50,Rain,val
21_06_2017_IITBBSoldData-00.07.37.133-00.07.43.955-seg51,Rain,val
21_06_2017_IITBBSoldData-00.07.44.975-00.07.52.187-seg52,Rain,train
21_06_2017_IITBBSoldData-00.07.53.234-00.07.58.760-seg53,Rain,train
21_06_2017_IITBBSoldData-00.07.59.607-00.08.03.369-seg54,Rain,val
21_06_2017_IITBBSoldData-00.08.04.451-00.08.10.713-seg55,Rain,train
21_06_2017_IITBBSoldData-00.08.11.645-00.08.20.168-seg56,Rain,train
21_06_2017_IITBBSoldData-00.08.20.944-00.08.26.198-seg57,Rain,train
21_06_2017_IITBBSoldData-00.08.26.939-00.08.32.758-seg58,Rain,train
21_06_2017_IITBBSoldData-00.08.33.755-00.08.40.848-seg59,Rain,train
21_06_2017_IITBBSoldData-00.09.28.576-00.09.32.940-seg60,Rain,val
21_06_2017_IITBBSoldData-00.09.49.640-00.09.55.299-seg61,Rain,train
21_06_2017_IITBBSoldData-00.10.12.798-00.10.19.447-seg62,Rain,train
21_06_2017_IITBBSoldData-00.10.20.696-00.10.26.628-seg63,Rain,train
21_06_2017_IITBBSoldData-00.10.30.144-00.10.36.326-seg64,Rain,train
21_06_2017_IITBBSoldData-00.10.39.681-00.10.45.186-seg65,Rain,train
21_06_2017_IITBBSoldData-00.10.46.510-00.10.53.619-seg66,Rain,train
21_06_2017_IITBBSoldData-00.10.54.962-00.11.01.835-seg67,Rain,train
21_06_2017_IITBBSoldData-00.11.10.234-00.11.17.049-seg68,Rain,train
21_06_2017_IITBBSoldData-00.11.18.050-00.11.24.698-seg69,Rain,val
21_06_2017_IITBBSoldData-00.11.25.668-00.11.32.006-seg70,Rain,test
21_06_2017_IITBBSoldData-00.11.33.030-00.11.38.879-seg71,Rain,test
21_06_2017_IITBBSoldData-00.11.39.639-00.11.45.132-seg72,Rain,train
21_06_2017_IITBBSoldData-00.11.51.939-00.11.57.975-seg73,Rain,train
Copy of 00000001627000000-00.00.13.501-00.00.18.002-seg1,Night,train
Copy of 00000001627000000-00.00.27.003-00.00.37.020-seg2,Night,test
Copy of 00000001627000000-00.00.46.914-00.01.10.527-seg3,Night,train
Copy of 00000001627000000-00.01.49.548-00.02.36.401-seg4,Night,train
vid_1-00.00.00.000-00.00.01.979-seg01,Night,train
vid_1-00.00.00.000-00.00.02.413-seg1,Night,train
vid_1-00.00.00.000-00.00.03.752-seg1,Night,test
vid_1-00.00.00.000-00.00.04.161-seg1,Night,test
vid_1-00.00.01.619-00.00.07.500-seg1,Night,test
vid_1-00.00.03.050-00.00.04.924-seg1,Night,train
vid_1-00.00.03.201-00.00.06.947-seg1,Night,train
vid_1-00.00.03.386-00.00.04.889-seg02,Night,val
vid_1-00.00.03.705-00.00.09.042-seg1,Night,train
vid_1-00.00.04.020-00.00.06.353-seg2,Night,train
vid_1-00.00.06.035-00.00.07.453-seg03,Night,train
vid_1-00.00.06.214-00.00.08.584-seg2,Night,train
vid_1-00.00.07.463-00.00.08.788-seg3,Night,train
vid_1-00.00.08.287-00.00.12.527-seg2,Night,val
vid_1-00.00.08.659-00.00.10.281-seg04,Night,train
vid_1-00.00.09.982-00.00.11.708-seg3,Night,train
vid_1-00.00.11.543-00.00.13.230-seg05,Night,val
vid_1-00.00.12.659-00.00.16.179-seg2,Night,train
vid_1-00.00.14.732-00.00.16.374-seg06,Night,test
vid_1-00.00.26.400-00.00.30.979-seg3,Night,test
vid_1-00.00.27.114-00.00.29.146-seg3,Night,val
vid_1-00.00.28.749-00.00.31.079-seg10,Night,train
vid_1-00.00.29.758-00.00.31.865-seg2,Night,test
vid_1-00.00.33.012-00.00.35.235-seg11,Night,train
vid_1-00.00.33.969-00.00.35.003-seg3,Night,test
vid_1-00.00.36.132-00.00.38.205-seg4,Night,train
vid_1-00.00.36.603-00.00.38.494-seg12,Night,train
vid_1-00.00.37.334-00.00.39.944-seg4,Night,val
vid_1-00.00.40.010-00.00.41.816-seg5,Night,train
vid_1-00.00.40.163-00.00.42.149-seg13,Night,train
vid_1-00.00.50.512-00.00.58.016-seg5,Night,train
vid_10-00.00.00.000-00.00.02.595-seg1,Night,test
vid_10-00.00.00.000-00.00.03.739,Night,train
vid_10-00.00.01.787-00.00.04.307-seg1,Night,train
vid_10-00.00.01.886-00.00.04.326-seg1,Night,train
vid_10-00.00.02.963-00.00.06.192-seg1,Night,val
vid_10-00.00.06.141-00.00.08.782-seg2,Night,val
vid_10-00.00.09.092-00.00.13.067-seg2,Night,train
vid_10-00.00.17.051-00.00.19.476-seg1,Night,train
vid_10-00.00.35.966-00.00.39.098-seg2,Night,train
vid_10-00.00.41.665-00.00.43.642-seg3,Night,train
vid_10-00.00.53.166-00.00.56.219-seg1,Night,train
vid_10-00.01.04.581-00.01.06.620-seg4,Night,train
vid_11-00.00.00.000-00.00.05.548-seg1,Night,train
vid_11-00.00.02.203-00.00.07.171,Night,train
vid_11-00.00.05.099-00.00.08.658,Night,val
vid_11-00.00.12.255-00.00.18.022-seg2,Night,test
vid_11-00.00.25.671-00.00.28.062-seg4,Night,train
vid_11-00.00.35.978-00.00.41.714,Night,train
vid_11-00.00.36.991-00.00.39.106-seg5,Night,train
vid_2-00.00.00.000-00.00.02.316-seg1,Night,train
vid_2-00.00.00.000-00.00.02.468-seg1,Night,test
vid_2-00.00.00.000-00.00.02.973-seg1,Night,test
vid_2-00.00.01.464-00.00.05.664-seg1,Night,test
vid_2-00.00.01.492-00.00.03.002-seg01,Night,val
vid_2-00.00.01.506-00.00.05.949-seg1,Night,test
vid_2-00.00.01.552-00.00.03.312-seg1,Night,train
vid_2-00.00.01.817-00.00.03.485-seg01,Night,train
vid_2-00.00.02.127-00.00.05.454-seg1,Night,test
vid_2-00.00.04.629-00.00.06.428-seg02,Night,train
vid_2-00.00.06.222-00.00.10.566-seg2,Night,train
vid_2-00.00.06.466-00.00.08.996-seg02,Night,train
vid_2-00.00.07.931-00.00.10.712-seg03,Night,train
vid_2-00.00.09.811-00.00.11.958-seg2,Night,val
vid_2-00.00.10.815-00.00.12.758-seg03,Night,train
vid_2-00.00.11.295-00.00.12.869-seg1,Night,train
vid_2-00.00.14.449-00.00.17.886-seg04,Night,test
vid_2-00.00.14.809-00.00.17.515-seg04,Night,test
vid_2-00.00.14.842-00.00.18.506-seg1,Night,train
vid_2-00.00.15.423-00.00.18.883-seg2,Night,train
